0,1,2,3,4,5,6,7,8
377,411,498,6,383,562,315,345,321
377,238,182,493,181,342,266,407,457
377,463,298,255,268,286,216,278,146
377,241,278,561,348,290,151,595,538
377,82,22,442,217,538,241,199,412
377,80,236,209,253,53,185,596,110
377,303,318,411,340,185,436,540,146
377,92,223,63,206,278,340,277,309
533,530,377,392,251,380,545,410,332
377,317,587,365,330,324,527,366,153
377,578,100,557,354,346,289,258,200
377,113,41,119,217,442,341,479,577
377,489,160,406,450,138,135,527,374
377,169,408,407,406,405,404,403,394
377,599,467,484,133,594,115,156,262
377,481,147,459,183,466,350,369,148
377,496,235,106,283,37,379,172,535
377,408,23,503,555,213,13,67,270
377,282,92,55,291,125,152,436,271
377,430,427,327,189,182,266,469,407
377,317,365,576,311,542,44,488,30
377,113,41,119,104,224,234,578,48
377,103,259,193,272,430,181,55,300
377,513,143,62,522,566,26,395,8
377,468,347,559,30,474,123,488,154
377,103,259,131,96,542,280,303,559
596,377,179,371,414,483,567,0,397
377,469,581,467,200,223,50,262,342
377,238,557,568,208,451,479,537,407
593,377,179,209,253,201,304,185,110
377,100,466,481,167,267,382,354,542
193,377,562,181,373,487,139,130,265
377,581,484,115,196,578,577,417,270
