0,1,2,3,4,5,6
1.0,1.24,1.25,1.27,1.3,1.31,1.32
1.0,1.05,1.21,1.27,1.32,1.33,1.34
0.97,1.0,1.15,1.15,1.16,1.17,1.19
0.66,0.9,1.0,1.06,1.06,1.12,1.18
0.75,0.98,1.0,1.0,1.05,1.21,1.22
1.0,1.26,1.29,1.3,1.31,1.32,1.33
1.0,1.27,1.32,1.33,1.33,1.34,1.35
1.0,1.2,1.2,1.21,1.26,1.27,1.27
1.0,1.31,1.31,1.31,1.32,1.32,1.32
1.0,1.18,1.26,1.31,1.32,1.32,1.32
1.0,1.14,1.18,1.23,1.23,1.26,1.27
0.97,1.0,1.06,1.12,1.15,1.19,1.19
1.0,1.21,1.29,1.3,1.3,1.3,1.31
0.74,0.75,0.77,0.86,1.0,1.13,1.15
1.0,1.3,1.31,1.32,1.32,1.33,1.34
1.0,1.07,1.19,1.22,1.24,1.24,1.25
1.0,1.19,1.23,1.26,1.27,1.29,1.31
1.0,1.25,1.28,1.3,1.32,1.32,1.33
1.0,1.01,1.04,1.05,1.08,1.08,1.15
1.0,1.14,1.26,1.28,1.29,1.31,1.31
